hh_pub_hex,emoji,unicode_codepoint,h,s,l
02ca85c4e5125904398ad8725cc27c014bf7aa02c6755b1b807921bda088241b64,┰,U+2530,132,85,67
02b6a35e7566cd32bcc101b2c866345bc390cd1a51f1aaf2af22dd3221bbcf25a8,┬,U+252C,230,77,53
02929ba863400cabb18d21b0169441596935674e1a24f299b4d1562d4990006375,⏐,U+23D0,350,63,63
027e1d308b402565506c8b31df80b051d2601c465a6e92fb9c4d2d57b8d1d310b6,┫,U+252B,31,69,70
020a02cc6f1dbe7fcf582a65c75fc593d9d0731f2d7f278bc8b1748c2616865b09,┓,U+2513,176,68,67
02c2875d26ed86f61675ebfa523f57ea317b57ec5915073c73b942fd508a23efc5,↥,U+21A5,299,62,52
028cec8be05d3179885a27f3a41f5f92e4e504e74f4d11d247a8d0bbee39fab097,⌠,U+2320,169,78,67
026fc100718a10fb0e859a41f518ccff17687f58cd1a62dcca031993a1ad7ddffe,⇐,U+21D0,140,64,62
02f9ee7b15849996beb8f07163c73cf6e2f570dc759d96b622c8b556077aa8f78c,©,U+00A9,227,81,60
028c25eb03bf5ec7feaa493f8723dad576503d0cfd14bec4e685f6f0d5d6cdafe9,⎮,U+23AE,142,66,70
027fdfa1e768bec167a9d128e3c06c196af2a12fa8cf55697d65e8a5c982ff759c,⌅,U+2305,132,69,56
02701e8268eaccef2f3001621c2c3ca3fb0c747a6b11520b70cbc902832453bc7a,⌮,U+232E,67,81,67
02c853d186f2360d0bbb4ed036fb8bc1345e6dca08d93b51c61af09e2b2e640bc7,⎮,U+23AE,130,68,55
028c8ec0206d1a9d48b3a005834a82d74731d97f809759069fa87205ae5828527c,╬,U+256C,193,66,53
028a208750496f9ca4833c95f5fa0816e9962e7a2e07cf5513c2d603e8e9891a9f,⍗,U+2357,35,74,67
02b0634eca99f99d2f04cbd9df4748550f6221a5f618e365edb5c6a938fecbf44f,⌖,U+2316,343,65,53
027debd1c3b33ff1a501474f779de83fe19707ae580d8bf49df03125539ee9021b,⍃,U+2343,206,67,70
02c881906eea0f5bbfc341aec0c41096d33bc719579c6c95851101092249e5acf4,⏉,U+23C9,0,67,56
02e95edc87d9f32f6794b62820b2152c93449c026b1e7d074423a9961e7468c48e,⍋,U+234B,185,70,57
021aedf61a2c74a62a1c2a128729a003ea9a6ed7597e2183c02a05de0be4776b63,⎐,U+2390,98,64,50
020c866227be75784ca721e1cb3c7d92080c58eee8d9cbb7ad9aa214fde8a8d8cf,┆,U+2506,145,84,50
0224902560f82bfeda2079948292af29adf8f6f069b1bf27d2e1ad19df267f8515,⇰,U+21F0,252,69,50
02c8f24bd80282a21ecfd7151fd8a1d99b962a66c333d3ee1674faf6d2cdfe1b82,⍥,U+2365,149,76,70
024aef288fc6fb7a2ebb3039f5cc4229422524584e7a73d1b526caa2d8377f8fe7,⎌,U+238C,355,75,50
022bd5766ea56e902bc45a850dfb1741703fb67615760cf554e5d6b112b5d9a070,↮,U+21AE,196,77,58
02a1edc85e94e4533e0a869bb17bebf625b5c140f7aaffd2234178267b5523ab72,┹,U+2539,188,72,65
023ca345a011f032927b3cdfa4872483db4f6474c54b6b79f18e66bf896dce6e59,⎧,U+23A7,25,65,53
020ebe3e932c374c6d5ccda06a460dd58cdd020b363a2d48d30c00afedbaefd18a,〉,U+232A,11,76,66
02fe8a1da5d1030fd9af5d35efd7c6495306d9ef56d7fe16fdb4304c9088710682,⇵,U+21F5,54,75,65
02e1b254ad87f57f72d6353b8ad41595906cba5e6ef26e6e98117243606f0df18c,⍲,U+2372,358,74,63
0259773897d824b4566b80c38613888ccbcc7eab3487e37510ba79910455033c6f,┪,U+252A,186,83,56
02d195ee92c0f240623f3580248798397360566e48fae2f16bb3ac797d1e8e8cad,⏚,U+23DA,11,80,64
023ef1162ec51bfaa5998310e187366e5cd43fb29c38edd6d2c83d4695bb443227,⎅,U+2385,170,64,61
020d16ade3fab646dd3ebdd5293a59c0b13c13cfb67f31bd8d1d5a23a3a45d21fe,╈,U+2548,44,77,53
02482e746a63515256040894a89c2ecc263db0cde04436077aafb9c4d5d57da875,⍓,U+2353,352,60,57
02a17c711f0b6cf66f55051f44b06001e92439511b2c45b5d9d89b276c5dc05776,⏪,U+23EA,87,61,69
024cb16436f34bd9560b3506448be5a4c24720567abc763be5ce04a70518c4388f,⏯,U+23EF,140,81,50
02158ccde6964fe0da65d8c9548761c0ce6bff55ea75003cc76487ff730e51d027,↑,U+2191,78,75,66
02444cde288b939be53175b2f08341ec884518562548c79430990f081edef457f9,⌀,U+2300,203,78,65
02028699527bddf1b46af5126f8df40e6d12b99afb1a1f1e5b99944df2d1d3f69d,│,U+2502,158,71,57
023cb20cae474a4a1ceae2afda84e645e5b05ee86a98bd2768fa476fd67dfb2fac,⇃,U+21C3,283,64,55
02060c44d7e6e7e6ae105fa3917136e5f2df1c8482de286bc56e4e4cde0086d3ad,⎬,U+23AC,330,78,50
0209de5711dc1e44069e3c08474b0e8e26dbd94a8cc06262d4a71dcb9f991cf69a,┫,U+252B,245,78,65
02768b0f2384ae188c54fde9a437f9633bdb5d39eaac3a325826483d0bd6d04805,⎵,U+23B5,181,72,66
02b76422ff5052f740db9fa2f47bbfd538556c35f2380d32e7ed5e9b89f0cb1bc9,⍅,U+2345,248,68,63
026ced16fdb75d7902cc1eb44d4689691fbe82f4f94da29c39972af8d1e4b43b9b,╨,U+2568,188,74,60
02fef170aa310d83956989f80d7edf12fa19aaa2a5f32e5f8e49fe98ff3b144e16,⍦,U+2366,354,71,65
0224f111c35cb4da61b1ddafe11a6d8970a06d225f47cbce8862a7dac98b136eec,╣,U+2563,216,65,54
02b517658add85dcbb2fe5f1ffa71a2202f7d2f7caa47cab60c22244e0a67f6187,⎺,U+23BA,14,82,50
0209b85e86c762113d5e978b7c3aed2129fbb3b7ebfadef5e3a83a8e23ed8ff51f,⇵,U+21F5,136,69,69
028968efc150221da89ca0a63c79b3db15c6a9264eeccd63f32e06e0544c186598,↸,U+21B8,330,68,66
0213ddef3080fa693d4e25526cee0e38022bbc30af8a3293d822005b46e54b747c,⍿,U+237F,230,80,59
021e5fe4ac67b07a1ce15ebd03e24dde4548d18a996b72e97be1e869bcab5e73a0,┎,U+250E,136,83,64
020cd3bf65ea33e23bbdef6d86704f3cdf7c1e0c97e2d2170eed69dfd357071f6e,↲,U+21B2,238,80,54
029e693714a20039daff5781ccac5b1a36a24b86bc1570292c89338001997fd814,┉,U+2509,243,81,51
02e061098eeedc2ee8738fcfd1ea6bdcbf2c23cec021a00a4c1463c01f1d9350d7,┤,U+2524,129,67,63
0221f07e6f445a7b187fd9fdf3bd10cfae50a2e95155e801e0fc440f50b3c174bb,┍,U+250D,141,65,66
029be4d2c862b641e2ac626fd96e6457aec3403f1af4de68198c8de1f7bd02370e,⇛,U+21DB,159,80,54
029fb6907f1f8f1e333563e43a86467c419e73fdf55389ca41680bbab535adb9f1,┼,U+253C,350,82,52
02d08bae8302a9e5af1f27a69f8f43ce6361cf2e73ea3d989b57257c546493616b,⇅,U+21C5,13,66,55
023d52e2035af0c4f0b68a3e80d24f0887a41903f5a78065a5a161f8b03b136a0a,┭,U+252D,69,68,61
02b7e8be7dd5d8090ea022d146a212b525cfaf11b189dc6ea54e6c5ce3153ee552,⎍,U+238D,278,71,64
027b9cd79c3362b735cb1048ca65acb03cbf70b239196031f055871a3c0b8eebad,⏢,U+23E2,310,71,70
02301873738f0e7e3a2372e3a32cc899729b53d0f3b7d2e01d160e83c490b61bab,⍦,U+2366,171,70,53
024f4c33d74f957219df1271970b930d1e7bfac17a3f57c6608f2f709143336f42,┿,U+253F,215,68,57
026e45ac199de01fc585a74a5ad59466470e42d1a102f20a0280b8ae8abb26e140,⏔,U+23D4,254,61,55
02fb77c5cd7a2fc796528b23c93b64b46d22d3d83c216d867fb535067f43c7de18,⌓,U+2313,134,73,58
0255383d6e35f8d0587243765c34439ef1275a07e1735507649c25317d13018bcf,╟,U+255F,305,70,55
02d8892ae52404ed980a577266063a92a7ef98daad62c267572181d492e81e27be,→,U+2192,207,73,56
029d834fa9d31bf6714c858c83a7f173b0a773b67fd1a4a0b96e5d0e3d19a1bb21,┩,U+2529,166,84,53
020dff5467a0dae26f9dbd55cbff66ea921ae7596d2c7e24988a3303f7e4cebc07,⏄,U+23C4,327,77,68
02ccf736571f501903434ba03f5ef18020a28b10b94e422135905f638b7213480d,│,U+2502,16,73,52
02aec5af9d250c494105a589ed5fac14cfce681b68fece67db721d1c631e96e085,⇋,U+21CB,69,84,62
02fec976891e936a6cbbcbdc714ed5fcefd98e4c77ae36a61ad61e3d46683c7086,⌕,U+2315,352,82,58
0230bfa4c1874866bc23c2ccb64521461ac08891dbe75b2a3776e823b30226f72c,⍂,U+2342,206,74,55
02b9a0dcef09cf198d1d7ae728733ea2ceb77ff047efa14ac644174da5207aa8f3,╖,U+2556,213,85,65
025cbbecef14578d54f0dda8de450fb13781d4b5fe75f05444864d817ac5ff947b,⇙,U+21D9,310,85,58
0251a2922a3db6a3f21cf164451e2b39ec51624621afb5aff19155d830008dbc03,╕,U+2555,273,69,51
021dd61c3128bb0e2164d0613cfe5a4497c7847fb2c1973ffd5312bd3a6be1a719,⏛,U+23DB,201,61,57
02ca47bef47f0e0218d7e62eaa9a67491452877fca79e67aff1ad4cab8ba1e4769,┴,U+2534,196,63,66
02de6618305f2c5067c041e8b6cb63a1a3333d8ca16aebc4bf7cae25516da7e9a3,⇋,U+21CB,155,85,62
027ff998398ca44bdfa88d8745a28b9ecedf9dfb1a9b597ac0ac8368dd9b11853e,⏧,U+23E7,347,73,51
021f44564dbf373106b7ae57f48fd8162a934240ebd798ca29cf5b099c33fdd2be,⎄,U+2384,192,67,54
02520eec6f78e74c5f361f4a448dcc66a6a08232b4fd16b7bde724d41f4f2d7f11,┌,U+250C,246,76,69
02d18a942024fe7397d0734774f82e7f6346460c6a0399c3e367e5afbddae78cda,█,U+2588,178,63,67
0257df4d1bdd14aebc52099419e1c01b72c74dd2450e6447b2e3dcf7b499ec4e66,╀,U+2540,23,77,51
02dc3e238ebadbe708b81223583385466c152dcf948aa641948a19c67dd764b5c9,┬,U+252C,275,60,57
021f4d82f65a553fe684d4166581b992480a936da777c26f47993bdf291e4d946e,╷,U+2577,352,64,66
02270a7123d299843a33860b1e5ec0df5979683cb864f10abe5837a08a2e883ead,⎼,U+23BC,311,72,60
0243fcc164fa6b7597414bee3f3689ad1b5d0553ae3597cb009a2ad2cf1a37480b,⌊,U+230A,318,79,53
023d4f48fccf71d4da972771501557e53bd84bee12e13447bf7c42e6cd697ff5a5,╰,U+2570,221,80,53
0292303872570dd36cefe0c97fd90a47f23d9815b9db02280000b88d3de6653c6c,⎏,U+238F,217,82,55
02261082035222d48ce1ad30398be530a42596f48b855764090dd2fd700919e2ac,⇫,U+21EB,298,85,51
029309ca7060645ffadb13eb1239aa8214dddb9138c2b6d02b1639ba34ca0dfd44,┄,U+2504,82,66,51
02b4e92de8b5fe4f440a1f7b75a400398c1806484c184e0ea15911f6880a976531,⎠,U+23A0,162,65,65
02d62af71c38f674f4843be1265b8ef32690e5b61e4f263e90938316bf0ca875c0,┊,U+250A,285,69,66
0298cb4df533e45a3c979b8c79f43409cb26b2ca73abdc0b9a55793b49c7e834fa,⁉,U+2049,152,64,64
02fe42a21042e5afe5bf2af8e033ca55350103b42a42887f938bf998ff6dc36e35,╊,U+254A,140,65,68
027a45a7ef9ca877e7af7c5fcbccdad4a05da296ab307a8a30b2eb0ff779014f9a,⎤,U+23A4,239,67,65
0222540c6068b242e03df28bb3a1d6c3cf15dba0f64c4d05fe9066c54047d133cb,⌋,U+230B,148,66,68
02bc6527f7ebd2f543470cf1f5f56be0e7701e26f5442eb9f72236076d2b84638f,⏑,U+23D1,308,80,66
02fccf97389260ec9c6e3ede9421777389b75166f3217446c435bb736837932b86,┛,U+251B,354,63,69
02f5761f22a5af5723270b773057ae8746c91fbfeb1550495765b05b43bfa2febd,⎢,U+23A2,273,79,57
02a7ee2f5f77f3c99284531774d9e9a90cae88c2c4dd705ae63d80fa75f190a655,⇗,U+21D7,126,64,66
020e7a9cea8e7feccaff795ed41b5cbd24bc271bc5817f87d6b4e2de5fee8d939b,⇶,U+21F6,10,69,65
0210b3ae52f20f8ec34c2edf81dfb812183078a75def8f8b4b2f845815894dc9cc,┭,U+252D,132,64,63
022306b5712cdd1538f820358012f81fc7838a5f6bc32122d8933e676923741157,┎,U+250E,265,64,63
021a33275ebfa0b8950b293af5ee42e720d09209c5d6fbf749a3629e1b3d77b86b,⏣,U+23E3,210,60,56
0222fa4289cffea018134fee5b75e1ea5c669689da5e945f8cedce7295c2fa8fda,⍾,U+237E,268,80,60
02b977abcc7a3666455b3cd793eae93c6c5f028f644c622bbfa926d076e50f0268,⌂,U+2302,107,72,57
029169c4e40c5610eaa01689aea42cbf1b31e8839cad6c019f1f4039ad852115c3,⎴,U+23B4,115,78,55
021d353c24cc5be7ebf9245e963736a9dfb2ef747a4fc2fcb077244118df84627c,┴,U+2534,192,62,66
0228acaba7c079315144dc7ef51474da2e9cd4508b7610733b0a48240ae3679db8,⇚,U+21DA,164,72,70
020b78d1a4948d92967fd85cf915921ca537a8573f4bce392c7ad7fd5d022b1187,⏪,U+23EA,161,77,52
02b31694dff640c178a6421d137e0e7ac99ea17f16422127da3845bc53bb29593e,⎻,U+23BB,106,76,67
022d936eec54af302d74cfcbb7e96c793beae1dbb2de6222c3020109f388884394,⇈,U+21C8,350,85,67
02bedc3ff4f00bea71952f4a648c2e3cbc65b545c047a12b5f4699c8d54a69c99b,↿,U+21BF,49,78,51
02979ce743cbed0375aa21a146801edd69b8f8dcc3f5cca764392d544f78800804,┝,U+251D,219,71,64
02987789a68f3ec938b36eb8c05de9f47c8225b0468b2772e64f63258fa6d6697e,〈,U+2329,233,73,66
02ad3a57ef55907fb2f239e40298437365f5227c84856650bd01ebbe19b73527df,⎗,U+2397,151,60,53
02c97c2a5c1e20065b52e95653284aef222c950562cacd42b1171f7bd7c89826ee,╪,U+256A,344,65,70
021912ef464ee60cb51bd9dced93576241d1dd30f5538c8493f424c66bdbe4e1d2,┦,U+2526,229,69,61
02e7483b0bb34b817db3718677275df3ac798ba6c7d0ee56128a9d91610e7fc1e1,⎅,U+2385,194,81,68
02be41fba10d4f922f66a52287576c9d15d76f1ddb8ce779ec138a58571bce9f78,↨,U+21A8,110,60,61
02b3d8510a13988efb42636fa217d79f6d9286e6f9c76c086824bb2f193893ca69,⇕,U+21D5,348,68,57
02a030ff8d5009d172290176e6d005731e5ecfe8e644cdc0907ab845d845057a1a,┑,U+2511,130,68,70
025effdae33632e55bb879110c97abf18baf49635c7d17790a117d43841138571c,⇚,U+21DA,23,60,53
029f2b9970e5f1b269dd7632e2ebc6b43384859e3f9bbeefe625f107835cd169e4,╏,U+254F,54,60,65
027b628e94921747971afc6d10146012e0e599b00c6d05135588196631a3ae0dc4,▇,U+2587,180,70,57
02505559366c0c93ad334c3a49fa9a953c9620e12affd4ea2285d50db4646d4734,⇛,U+21DB,220,75,70
02a3b48ecd2389f94c49999037dd8be704e12a0b5a7b8e2edd0c0447ba3c3ecfa6,⏓,U+23D3,219,76,67
02aabf722172ad9aff5507741354094cfc3e4913f58a6a96eab49dd5155157e929,▅,U+2585,277,66,53
0280a0f5449a6fc24ca6193d0c9ab70f550607ee1cc3d4d97122e4071602e39cb0,⏛,U+23DB,185,73,54
02cf3ec04599da617bc324a00f1e7113a394f091d4a29fcf7ad98dabfa7ac98cfa,ℹ,U+2139,95,76,63
024f822f775efd2fb49d18acaef5ca37f4a66b564646c22e40f8e0db25e3e2fdc0,╲,U+2572,22,75,61
02e33b23e350863718e7946f0c168618c37b91f5336f50f4de468d85cebbc0c50f,╶,U+2576,353,80,52
02570b1766ba9c035e6be2144b2052ce44ad3af2b3e5598be47fae3d0f59b79818,⌡,U+2321,2,76,65
02a3ba465dc4700d2d4fb3faf200f5e7110908dfeb5ca81eabdbed547a1d155c74,⎸,U+23B8,161,82,62
021e74603536a718fc2cbdf90b912f7aa0dd281b939c5e32900ceb5f4a0f74c760,⍴,U+2374,172,66,54
02a4c31e7f0a29290912a0a236327ec7a83b52b44f1d1e9f0fd8fb679d6ad841b4,⎓,U+2393,12,71,64
022c869fc512da75779304c98e12597ce588f9ecd08c51b01fb4fa88b6872b26e1,⇩,U+21E9,16,65,57
027c2b8e2846e985fea71aad539f42c7af9804c2791030d7ff0cd2868bb2869da2,⎡,U+23A1,342,64,67
029137045b807833f3ae59d8d937e138f59c21db9e83eda37bfcb69efb76fc64ef,╊,U+254A,1,79,51
02ffffe15e7c1302e4960980cc829d682bf67d5558ca4e33a61ecf135522ec06dd,┾,U+253E,24,78,63
027570ebc2f35905f940e0b09f4be1b85e4328d5850ef35b8826035981c3fb1fc4,⎶,U+23B6,351,60,57
026767f2efddcfbfc80c3b2ca3a6adcc4fb97dc7d87379daa7d2e912b3ffaa2096,┣,U+2523,145,63,57
0214ecf0a07e6494231e8e9cb81f8bf7bba8e1712a7ecb0918f699be5a1392a97e,⏄,U+23C4,175,62,54
02c06851a8438d80bc43a7a14543597c594ebd31016637fff4cea4e5e8f5baa755,⏏,U+23CF,256,60,53
024d6f86167e7855b5cafc64fc5e8ae809204c5bad98c9215d642b1f1268d009ea,▄,U+2584,255,76,62
026617c2745b9c5bfb3a838d90e29f0dc5aa2e3124a40434bfc2a78c0c22b31c86,⏿,U+23FF,313,61,64
02f97e96ec4be80bef340ee2cc9c5de145d1dfbafbc840e5b3307e4b4cae64d368,┱,U+2531,256,60,69
02de890819886a153860e51f34057a14ce2989c26c09398b9a8cbe54aa6b57f4ee,⏧,U+23E7,211,72,58
0267744382932da63645f0264dc0b0331dc4acd958d40d43cefc3ff3fa9878cab9,┬,U+252C,269,60,51
023f6fdd0b7f33403d313a964f86c191b4771c1f107ceac6ec2d808bc1665f714f,⎃,U+2383,287,76,70
027412b90acf3793f95eff8a7538f4748996a31271438a2f782b3cd081317f70d1,⏲,U+23F2,204,65,50
02eabd4d30adef8aa0e45357b70fa5c9a808f8c5333ca9fff9f4248d5034eba8b2,↡,U+21A1,330,81,61
02d12895f4be1df96a7ee2b44ab2d5450b0b7004aeb79e18eceb97a6d7f3a17e46,⌦,U+2326,58,66,56
023dd9f66ff0ebe20756e35a5ab279e24e459f0e80fed37b10452b6080c576ec53,▂,U+2582,103,69,54
028e2f8658227260a396686727d30f65422b135286b6400bbbcfa56c20b5a4ae27,│,U+2502,119,62,57
0208939ec8a588ca5fd783fd2adcd2f13a1e15b529925fc7bfab4abe29fad6591d,⌀,U+2300,205,82,55
026ef327a0264081c5832006741f85d273442a10870750bbf74fa635fdf8fef2c9,〉,U+232A,195,66,50
02a480030e7b2cfdf9bbc7f28019e66746da1114cc85edd29e191d4d0af86210f1,⌹,U+2339,243,78,59
0263b1a7e8779929c5473c8d2cb3f50f9bdd2df1bbb2309ddc3790648de9d5e47e,⌂,U+2302,121,82,63
02a14359012e0075d95230bb205976c770074d6ac422f05b66e3e423a805fc3c78,╨,U+2568,333,60,53
02a4ae20255a07fd431302abb7bd95025af456763e15851235b0aa82e1812ed965,⇺,U+21FA,299,76,58
02a942e766b5b3a002956316e38628d000ad4507b81ffee8d2a470286dd329582a,⏀,U+23C0,351,77,67
02eae5f42b6eb66b727a5180625ae8f24d49bcf3b4f4c09a1e7dca16531b33c447,↝,U+219D,212,62,52
02357e326d1d7ae462ae6ab38e857f8e0cbbd4ebe1a6b0c2b81ae606e586815127,→,U+2192,296,66,53
02f4839eb49ab8ea393d659506ee71381046bb029cff220fb5142484a79e20f999,⍇,U+2347,228,65,51
0232938cf5da9cc55532651949ecd2385a417cb674a3834a2cd0568d5fed57eed7,⌊,U+230A,177,78,61
02ea3f28ffe0ce6280594c5cc971e0703870ff564627b4d789d6d1c7d2057dbf82,⇬,U+21EC,282,78,58
02c4af8453a30eea0a75a730d51bd2445a5f84fc17f5a8cab073ddb62f3a7ba55d,┝,U+251D,201,64,70
02ef26f180b804d83f0b02110970e06eb9fa56025a941e7dd71f1b176fb6154509,╾,U+257E,177,77,64
024069ab8240b8ed2688a075aaa4037b2c5307be6149ee5b1bb6117dea0363c0f2,‼,U+203C,166,80,50
0222b0967fc080314dbf55a5c9230943048bb317f5d5213eb269810f3b4aa5032c,┨,U+2528,284,84,55
028a94f5721d4afae3fab1fc70a0bc8be9a3432ccd94ec4bbf67869c7719ed5503,└,U+2514,331,61,68
0211abbd328f4afeda341f60bc5bbf119ab3c79f09b31cd4bd7bff31b7f22db6a1,⇜,U+21DC,105,76,60
02d3e9b048ca2c2e50ca1d8d701d30166cff3280975d26586c50291fcd81e78a16,〈,U+2329,18,73,54
02008bdba81a4da3575f226baa39ca26f12c6f4e05bea2d75423a2c1a25d8429a0,⇺,U+21FA,144,83,60
02c2c45be9c89e64b8c8ca529ab4cef1bdbc28e254071e0b7c3f3e7bcb1c64fb01,⎔,U+2394,194,66,58
02fefa795b4cdbeb7af2af09f0744220d244921ad99261841a5037da9451527fd9,⇑,U+21D1,211,70,61
028dd6c97cb80436839a4aa91e9d5f41c0ccef124c3248614742c836ca748a05af,⌲,U+2332,232,77,53
02bf101a751b74dac2a4dcbfa201f3eec4f19fd9207f03f868be51259df9c58abf,⏂,U+23C2,354,68,65
02e938edd437a4096316c0e7499b6c330595d0fa03071bf684378395b8fc5f2a87,⎯,U+23AF,180,81,52
02eb15414cdedb0c69fd0c472049ee4898078d7df5b2f540153a5f37de48359bd3,⏢,U+23E2,143,78,51
021354cc287b16943b66bafac669eb32f6557fef9be3bf1211ed6e931733958285,⏛,U+23DB,328,85,59
0225261c5ad31e60c1d5aafbe4d6a946ba76b100dcba72cd53782a5e4563fada5d,⌏,U+230F,231,75,51
02c5efc6074d92b0535a7ab0120b10a8207bcbcd0854549a8f6a4221623da36ddb,⌵,U+2335,231,75,50
029a660930116e372e7ebe90341a3316efa9c2cd7a7b53c7e7f091a05cdf1cca1c,ℹ,U+2139,48,60,63
02ba702dfcb60949d2db58c8460cff16b25a9549678ded4e0f199ada45ce360d6c,⍙,U+2359,346,79,57
021ea59d42825f4a79c10181d4fbc65d99c579af89cfa99284b9a99c9c30cbbb95,⎏,U+238F,245,80,64
02e805869e6c42f4ad07211949c2a2ca5147322c3806077634d3f97b439d324d6a,╅,U+2545,254,79,50
02d8f24f954aa122c1b4e7441eb7a7669d798a89dc00d0d04f978e924cd12785f2,⏿,U+23FF,139,65,59
022dd878bcfbad197385d04471fa3b4afb8f06bca86cfe9e6a63125308ed6ae66c,⌬,U+232C,153,84,60
028e02423029c5d1e972300dabea2cee2ded861b5fb148e1244c7922955f667a95,⎹,U+23B9,141,68,64
0260211b059ac0a71842c148d49c62595aada0664291d411d04b1591dd54e939aa,⇢,U+21E2,70,78,69
026b746bc02e4563f1364ea8f7b0138acc4261bd23680afbccc47ef2ff7820510f,⍧,U+2367,63,80,70
021ba9604a8c816f5265de6ec31ac1754edb1110d4edb82cc855ff7aa826f10664,⎺,U+23BA,161,78,54
02bcdd7e2e251347d46a514b63e4ab3077292b00d82cf66c0d758c6cf117c16991,⏃,U+23C3,115,78,62
0202d53501b4255bcfdd42a53b985e16bac868d012a21c0ce20937400c62a3331e,⇂,U+21C2,5,68,59
0282f09d74f53e53e6424b9ce78866414e168e77ef7a6a29bd907a80ae8dee38c3,╼,U+257C,233,73,67
025c96c4b08e7b1ed93e090bb9e06f99894be55b09d1a63ff0345065d1933ede84,⍂,U+2342,234,63,55
02d38178f9f5739bca0914d7b87bee9f3c99f15af44c45a9af0a83e606ad85fceb,╭,U+256D,359,66,51
02cb0fc50d5a2cf2a16c03e11d7c67830a3cf9c1f92154b5a44ef7059670020f18,⍎,U+234E,74,83,50
0208c30c26cab2e4aa50fb95ef337200e879f042ab3dc3b341d34449e491205dda,⏅,U+23C5,267,79,62
02805ccf18f30eec199d4e438e88bd6a14d72625f03cf1d8a36b30d86252e982df,┫,U+252B,352,73,58
02fd8329b758dd0a28e607b30b3975ed61db53a8a9defd6e0d0a73945872437dbb,⎦,U+23A6,310,84,63
02f0da4717d39640576af354fd4040a25bd12b7f64e2d09ca70aae36854665261d,⎣,U+23A3,183,80,53
02a67010d922afd78317440495efe34f7dcd2038af626352b876af2d9b68dff5b6,⇽,U+21FD,78,84,59
022c3ec1f62408a6806e8298365f392ede2cd829fd2e5d01f825c446659d4c4749,⏃,U+23C3,89,79,60
02cf5c8907150b25a881e9014fdeac6815673c3fdb196c93892bd34f0c0de146fc,⏀,U+23C0,68,82,55
0277982188c9b127e845688ee139ce71d07fc1dcd95d9e428a3886322e702571db,╽,U+257D,267,79,59
02d8e978185d00b0d18509727682ec177dc4a938974c0f6797ec9ab130d50274ad,®,U+00AE,129,72,66
02656963c0b8614f140d7f7d481e73cbd16ee5563816154ef19501f6d123acea02,╠,U+2560,319,83,70
0208001040a2ac04b0d73084b6742ddb55313637ba4d07dad2c1be2032783d8899,⍈,U+2348,21,76,61
02a3c1750fdfc220ac18b385f1ed6f5cfb1706dd2f95b296f1a4855cbc4ef6af8e,⍚,U+235A,114,77,70
02d421a2a28219851e6d06bc798d593f908f04e727770a70d7c3605e2312518791,⏽,U+23FD,349,62,61
027bf337d4983b7e0506c2c4fa9a8eb781182290b98cd1cf6391cff8d318eb2103,⍆,U+2346,213,85,50
02e82db315828939b42cafe88d98afe72a18ace1c47d76d0c99fa5630293c3d3ff,┓,U+2513,123,62,68
02aef6db79c9ed3274f3d80e52a7bfdf6c639708c5a87e3f9a74a225de07c2492d,╡,U+2561,116,63,61
02e5c2cb1cfb63b2b0a95b9bf2a96e0e951ed83cf2184d0dad654acd91fb51227a,↚,U+219A,31,75,67
028567d9c3048edb3266d165479520c76131a8d4736f7045a04ca974cf2ce6296e,↾,U+21BE,66,82,68
0246b068ba037f0b11a3ecbd3df8f2cd4bc0c2a02482f97ec2ed39af86ce0f1071,┯,U+252F,255,64,51
02d8f43b86d44f2b0bf8b10759fc32d8264c88c2cfd3b12736a9358822403e063d,⍫,U+236B,32,73,59
02836e4ea64dccf187beab0493e0018547bf429031729f143ac46326a6aa2c9813,┏,U+250F,355,60,56
0235d1c9d41bbaf46c3774bb3f5f49f9daff8548a6d760219815b17d5227b73cc9,↝,U+219D,41,82,52
021fc4d6499e17cf8d54b711effad7d46730abb94dafe666354a438eb0c257aee8,⎶,U+23B6,296,61,55
02bf5c608292343f6caacbba58d7e32928235e05c0b08bd536dee5600d2103bb4a,⇯,U+21EF,213,67,53
022b098e078fc565580068eafe23f8310cabc7bf077422c170a4f3e772ce7ae94c,⏉,U+23C9,202,69,68
02aff71a8a44a2c82430a3180ec6e3c6cee110701b904b2bd91b812f66db45b361,⍊,U+234A,318,60,62
02ab766e674147f22807f3868314ed89517fcfe51bb89e6eb3bbcd89cc1add6f7e,⎼,U+23BC,298,66,55
02203023b15427493ac3f699476c473c4572132b1792ad53609c29f4b8f145faef,⏱,U+23F1,162,85,50
020492c1f9cc6690416fea803a04e43b00647f117748166db330da5d9b54abdd80,⇬,U+21EC,292,75,64
024b40f1d3aa81475f612d91586deee7197d3f5698e820515d4b7a4ed26f215bf0,↧,U+21A7,305,61,50
025d1da0717542c6d2a5e2345794a7c90392af8edb429e12ea7f23e5febaf9154f,⍾,U+237E,241,65,52
02ed157398198d39a4df257effae5e0dc055dc2491eb27c1e5fd4df67c221a3bdb,⍪,U+236A,114,69,66
02e4086a8c58a649db841ef82701992d884c14f2f3eef3cf59d1c557744ef5cd8c,↳,U+21B3,245,83,70
02edfa8a2d1a2cc5a67bee462a5c4d0ded1decfdee319bdb69c9ec84115ec7af18,│,U+2502,332,70,54
02ad51268baf5dd27f9eecc9cda6d3d63051542feaaad09e5f009e1753e394ecf7,╯,U+256F,42,75,58
